model,seed,precision_normal,recall_normal,f1_normal,precision_injured,recall_injured,f1_injured,accuracy,roc_auc,best_valid_loss,epochs,train_time_s,max_gpu_mb
resnet,100,0.9345794392523364,0.9615384615384616,0.9478672985781991,0.7647058823529411,0.65,0.7027027027027027,0.9112903225806451,0.8716346153846154,0.2810884992922506,55,58.5,1093.0
resnet,200,0.9587628865979382,0.8942307692307693,0.9253731343283582,0.5925925925925926,0.8,0.6808510638297872,0.8790322580645161,0.9067307692307691,0.17853547079909232,105,110.8,1193.0
resnet,300,0.8771929824561403,0.9615384615384616,0.9174311926605505,0.6,0.3,0.4,0.8548387096774194,0.8673076923076923,0.2454167248741273,40,42.9,1198.0
resnet,400,0.9245283018867925,0.9423076923076923,0.9333333333333333,0.6666666666666666,0.6,0.631578947368421,0.8870967741935484,0.8908653846153846,0.27562032688048577,36,38.1,1199.0
resnet,500,0.9428571428571428,0.9519230769230769,0.9473684210526315,0.7368421052631579,0.7,0.717948717948718,0.9112903225806451,0.9153846153846154,0.3159723339542266,30,31.6,1194.0
resnet,600,0.9166666666666666,0.9519230769230769,0.9339622641509434,0.6875,0.55,0.6111111111111112,0.8870967741935484,0.8658653846153846,0.3521755616511068,32,33.7,1196.0
resnet,700,0.9150943396226415,0.9326923076923077,0.9238095238095239,0.6111111111111112,0.55,0.5789473684210527,0.8709677419354839,0.8495192307692307,0.3105550552568128,31,32.6,1194.0
resnet,800,0.9345794392523364,0.9615384615384616,0.9478672985781991,0.7647058823529411,0.65,0.7027027027027027,0.9112903225806451,0.9322115384615384,0.28975102209275766,40,42.4,1196.0
resnet,900,0.9494949494949495,0.9038461538461539,0.9261083743842364,0.6,0.75,0.6666666666666666,0.8790322580645161,0.8591346153846154,0.2437802509915444,49,51.2,1198.0
resnet,1000,0.9504950495049505,0.9230769230769231,0.9365853658536586,0.6521739130434783,0.75,0.6976744186046512,0.8951612903225806,0.9,0.17371684120547387,65,69.0,1195.0
vit,100,0.9514563106796117,0.9423076923076923,0.9468599033816425,0.7142857142857143,0.75,0.7317073170731707,0.9112903225806451,0.9552884615384616,0.17752383607289485,36,178.1,3286.0
vit,200,0.9523809523809523,0.9615384615384616,0.9569377990430622,0.7894736842105263,0.75,0.7692307692307693,0.9274193548387096,0.9091346153846154,0.23075744870208925,33,163.1,3613.0
vit,300,0.9272727272727272,0.9807692307692307,0.9532710280373832,0.8571428571428571,0.6,0.7058823529411765,0.9193548387096774,0.9317307692307693,0.21790212296670483,33,162.8,3614.0
vit,400,0.9428571428571428,0.9519230769230769,0.9473684210526315,0.7368421052631579,0.7,0.717948717948718,0.9112903225806451,0.9225961538461538,0.29946883863979773,32,158.3,3617.0
vit,500,0.9279279279279279,0.9903846153846154,0.958139534883721,0.9230769230769231,0.6,0.7272727272727273,0.9274193548387096,0.8903846153846153,0.4040703874441885,34,169.0,3617.0
vit,600,0.9439252336448598,0.9711538461538461,0.957345971563981,0.8235294117647058,0.7,0.7567567567567568,0.9274193548387096,0.9264423076923076,0.2214923318355314,32,158.1,3616.0
vit,700,0.9238095238095239,0.9326923076923077,0.9282296650717703,0.631578947368421,0.6,0.6153846153846154,0.8790322580645161,0.8350961538461538,0.3871897396541411,40,197.3,3614.0
vit,800,0.926605504587156,0.9711538461538461,0.9483568075117371,0.8,0.6,0.6857142857142857,0.9112903225806451,0.9586538461538461,0.29276879852817905,34,167.8,3616.0
vit,900,0.9514563106796117,0.9423076923076923,0.9468599033816425,0.7142857142857143,0.75,0.7317073170731707,0.9112903225806451,0.9370192307692308,0.2848975589168408,36,177.6,3618.0
vit,1000,0.9423076923076923,0.9423076923076923,0.9423076923076923,0.7,0.7,0.7,0.9032258064516129,0.9307692307692308,0.16057190743665542,36,177.5,3617.0
transformer,100,0.9418604651162791,0.7788461538461539,0.8526315789473684,0.39473684210526316,0.75,0.5172413793103449,0.7741935483870968,0.8091346153846154,0.41139722639514553,97,284.3,5270.0
transformer,200,0.9270833333333334,0.8557692307692307,0.89,0.4642857142857143,0.65,0.5416666666666666,0.8225806451612904,0.8086538461538462,0.36634302139282227,90,263.6,5418.0
transformer,300,0.8936170212765957,0.8076923076923077,0.8484848484848485,0.3333333333333333,0.5,0.4,0.7580645161290323,0.7423076923076923,0.3315699946495794,92,269.4,5418.0
transformer,400,0.9259259259259259,0.7211538461538461,0.8108108108108109,0.32558139534883723,0.7,0.4444444444444444,0.717741935483871,0.8033653846153846,0.4617971912507088,93,272.7,5419.0
transformer,500,0.92,0.8846153846153846,0.9019607843137255,0.5,0.6,0.5454545454545454,0.8387096774193549,0.8048076923076923,0.4982880161654565,95,282.3,5420.0
transformer,600,0.8947368421052632,0.8173076923076923,0.8542713567839196,0.3448275862068966,0.5,0.40816326530612246,0.7661290322580645,0.7759615384615385,0.4264425616110525,86,252.4,5420.0
transformer,700,0.8910891089108911,0.8653846153846154,0.8780487804878049,0.391304347826087,0.45,0.4186046511627907,0.7983870967741935,0.7576923076923077,0.4194392542685232,87,257.8,5420.0
transformer,800,0.9186046511627907,0.7596153846153846,0.8315789473684211,0.34210526315789475,0.65,0.4482758620689655,0.7419354838709677,0.7677884615384616,0.42028380978491997,90,273.8,5421.0
