variant,seed,r2,rmse_0_100,novel_test_pitchers,n_test,n_test_pitchers,epochs,train_time_s
r0std_row,100,0.7637180202763577,99.96657109630593,0,821,96,42,37.5
r0std_row,200,0.7877019843559087,95.21132696240083,1,821,98,63,58.3
r0std_row,300,0.7917706695284756,93.04559197697367,1,821,96,70,65.8
r0std_row,400,0.8009815605621725,99.08705925273537,1,821,97,60,57.3
r0std_row,500,0.8028634376716927,87.60694663763542,0,821,98,69,67.6
r0std_row,600,0.7949530343789296,94.81113476025145,0,821,95,42,35.5
r0std_row,700,0.7915200049496907,82.33104248340936,1,821,97,43,36.8
r0std_row,800,0.8027085126853102,86.48575141800113,0,821,96,42,35.5
r0std_row,900,0.8042652696806496,86.12875735554275,0,821,95,76,77.0
r0std_row,1000,0.7592203030570551,110.73350155700975,0,821,96,42,43.6
