variant,seed,r2,rmse_0_100,novel_test_pitchers,n_test,n_test_pitchers,epochs,train_time_s
r1o_grouped_ours,100,-0.027635810979868225,242.98780639373282,22,915,22,17,18.2
r1o_grouped_ours,200,-0.023905253028275286,208.00826166089755,22,897,22,17,17.7
r1o_grouped_ours,300,-0.09302527526487059,227.51989203979124,22,787,22,17,19.2
r1o_grouped_ours,400,-0.14701674894536998,244.81585164052814,22,834,22,17,19.2
r1o_grouped_ours,500,0.0577840915443959,179.25236809479338,22,811,22,17,19.4
r1o_grouped_ours,600,-0.0046976405282039835,170.69629530558285,22,946,22,17,17.3
r1o_grouped_ours,700,-0.2663205203251142,212.19189355060638,22,995,22,18,19.2
r1o_grouped_ours,800,0.02408373317306689,211.7880593378203,22,810,22,17,18.8
r1o_grouped_ours,900,-0.11273659172159478,217.5881159180528,22,889,22,18,20.5
r1o_grouped_ours,1000,-0.21710234313880505,244.22795058563244,22,910,22,17,18.1
