variant,seed,r2,rmse_0_100,novel_test_pitchers,n_test,n_test_pitchers,epochs,train_time_s
r2_causal,100,-0.032277515892979336,187.64891114091262,23,1128,23,17,18.8
r2_causal,200,-0.03407414667807651,227.74326381401315,23,891,23,17,17.4
r2_causal,300,-0.2895866436479595,261.05491101117144,23,993,23,17,18.8
r2_causal,400,-0.07275874785488323,213.92409319686334,23,1027,23,19,18.9
r2_causal,500,0.05605818822795683,197.17613046815225,23,935,23,17,17.9
r2_causal,600,-0.035925554525723546,220.65387489603665,23,869,23,17,19.1
r2_causal,700,0.017210065881613112,261.4558019556497,23,744,23,17,18.5
r2_causal,800,-0.07327110311856133,216.85675231164288,23,894,23,18,16.9
r2_causal,900,-0.10851660187327972,200.49753250947174,23,851,23,17,17.2
r2_causal,1000,-0.2135678381425139,227.07673978014884,23,742,23,28,27.2
