variant,seed,precision_injured,recall_injured,f1_injured,accuracy,roc_auc,pr_auc,n_test,n_test_injured,best_valid_loss,epochs,train_time_s
v1_bugfix,100,0.72,0.9,0.8,0.9274193548387096,0.976923076923077,0.9057479684917766,124,20,0.18590382961255889,33,162.5
v1_bugfix,200,0.6296296296296297,0.85,0.723404255319149,0.8951612903225806,0.9004807692307691,0.8191201433249484,124,20,0.18896851376179727,32,157.3
v1_bugfix,300,0.8461538461538461,0.55,0.6666666666666666,0.9112903225806451,0.9038461538461539,0.7601668106068953,124,20,0.21610741245169793,32,157.4
v1_bugfix,400,0.6153846153846154,0.8,0.6956521739130435,0.8870967741935484,0.9331730769230769,0.8145597692712632,124,20,0.25279523864869147,32,157.2
v1_bugfix,500,0.8571428571428571,0.6,0.7058823529411765,0.9193548387096774,0.9019230769230769,0.7904427874992392,124,20,0.43561367390136563,33,162.2
v1_bugfix,600,0.8823529411764706,0.75,0.8108108108108109,0.9435483870967742,0.9384615384615385,0.8632724363777671,124,20,0.2524497672434776,32,157.2
v1_bugfix,700,0.5769230769230769,0.75,0.6521739130434783,0.8709677419354839,0.8711538461538461,0.6811658389919262,124,20,0.43617134036556365,32,157.4
v1_bugfix,800,0.7222222222222222,0.65,0.6842105263157895,0.9032258064516129,0.9235576923076924,0.7791198920096303,124,20,0.3124617331571156,34,167.1
v1_bugfix,900,0.5862068965517241,0.85,0.6938775510204082,0.8790322580645161,0.9447115384615384,0.845089807570538,124,20,0.29147244624853613,32,157.4
v1_bugfix,1000,0.7777777777777778,0.7,0.7368421052631579,0.9193548387096774,0.9105769230769231,0.77706784803607,124,20,0.16519812626704092,32,157.4
