variant,seed,precision_injured,recall_injured,f1_injured,accuracy,roc_auc,pr_auc,n_test,n_test_injured,best_valid_loss,epochs,train_time_s
v2_f102,100,0.7272727272727273,0.8,0.7619047619047619,0.9193548387096774,0.9745192307692307,0.8998266377086412,124,20,0.2550210020234508,32,157.5
v2_f102,200,0.8,0.8,0.8,0.9354838709677419,0.9586538461538461,0.8853998560912688,124,20,0.18868978646013043,34,167.3
v2_f102,300,0.7058823529411765,0.6,0.6486486486486487,0.8951612903225806,0.9317307692307693,0.7326788255932989,124,20,0.3718942848424758,33,162.4
v2_f102,400,0.6,0.6,0.6,0.8709677419354839,0.9134615384615384,0.7555532092224988,124,20,0.2898426128010596,32,157.4
v2_f102,500,0.9333333333333333,0.7,0.8,0.9435483870967742,0.9278846153846154,0.8755900336638829,124,20,0.318125972283944,32,157.3
v2_f102,600,0.8666666666666667,0.65,0.7428571428571429,0.9274193548387096,0.9485576923076923,0.8581754234561438,124,20,0.29300866780742524,33,162.3
v2_f102,700,0.5454545454545454,0.6,0.5714285714285714,0.8548387096774194,0.9009615384615385,0.701058572595356,124,20,0.6390407086019555,34,167.1
v2_f102,800,0.8235294117647058,0.7,0.7567567567567568,0.9274193548387096,0.9653846153846154,0.836158729168424,124,20,0.35764973682741963,32,157.3
v2_f102,900,0.7619047619047619,0.8,0.7804878048780488,0.9274193548387096,0.9471153846153846,0.8538075551402264,124,20,0.2873492435582222,32,157.2
v2_f102,1000,0.6818181818181818,0.75,0.7142857142857143,0.9032258064516129,0.9370192307692309,0.7901579308991442,124,20,0.28875253716063115,33,162.2
