variant,seed,precision_injured,recall_injured,f1_injured,accuracy,roc_auc,pr_auc,n_test,n_test_injured,best_valid_loss,epochs,train_time_s
v3_window,100,0.6,0.6,0.6,0.8709677419354839,0.8552884615384615,0.643299972508355,124,20,0.5267866330762063,33,162.0
v3_window,200,0.4090909090909091,0.45,0.42857142857142855,0.8064516129032258,0.8057692307692308,0.4361721275718069,124,20,0.2849990802426492,35,172.2
v3_window,300,0.5,0.55,0.5238095238095238,0.8387096774193549,0.8173076923076923,0.6422828610162892,124,20,0.4235064935299658,32,157.1
v3_window,400,0.55,0.55,0.55,0.8548387096774194,0.8100961538461539,0.4217321972637053,124,20,0.3559439278418018,33,162.3
v3_window,500,0.5625,0.45,0.5,0.8548387096774194,0.8475961538461538,0.5861301165985079,124,20,0.6130471143030352,32,157.2
v3_window,600,0.5555555555555556,0.25,0.3448275862068966,0.8467741935483871,0.79375,0.4966619328139903,124,20,0.43831424270906755,33,162.1
v3_window,700,0.34615384615384615,0.45,0.391304347826087,0.7741935483870968,0.7245192307692307,0.49865226267915724,124,20,0.4281402595581547,32,157.3
v3_window,800,0.5,0.45,0.47368421052631576,0.8387096774193549,0.864423076923077,0.6186099344388598,124,20,0.46039931764525754,34,167.0
v3_window,900,0.5263157894736842,0.5,0.5128205128205128,0.8467741935483871,0.8105769230769231,0.5065276203853348,124,20,0.46612365591910576,32,157.2
v3_window,1000,0.5714285714285714,0.6,0.5853658536585366,0.8629032258064516,0.8846153846153846,0.5850470003848461,124,20,0.3610294182454386,32,157.2
