variant,seed,precision_injured,recall_injured,f1_injured,accuracy,roc_auc,pr_auc,n_test,n_test_injured,best_valid_loss,epochs,train_time_s
v4_lininterp,100,0.6666666666666666,0.7,0.6829268292682927,0.8951612903225806,0.9663461538461539,0.8712165387894291,124,20,0.19502392843846353,33,162.4
v4_lininterp,200,0.7727272727272727,0.85,0.8095238095238095,0.9354838709677419,0.9149038461538461,0.8525369122061142,124,20,0.21495979796013526,34,167.1
v4_lininterp,300,0.6,0.45,0.5142857142857142,0.8629032258064516,0.9346153846153845,0.7388011016006841,124,20,0.3121117858156081,33,162.4
v4_lininterp,400,0.75,0.6,0.6666666666666666,0.9032258064516129,0.908653846153846,0.7651065367062195,124,20,0.3663032650947571,32,157.4
v4_lininterp,500,0.9166666666666666,0.55,0.6875,0.9193548387096774,0.9182692307692308,0.7957863454736258,124,20,0.5213514622300863,33,162.5
v4_lininterp,600,0.7857142857142857,0.55,0.6470588235294118,0.9032258064516129,0.9370192307692308,0.8052839496653683,124,20,0.22770129384533053,32,157.4
v4_lininterp,700,0.5652173913043478,0.65,0.6046511627906976,0.8629032258064516,0.90625,0.771601519241353,124,20,0.3437293114200715,32,157.4
v4_lininterp,800,0.7857142857142857,0.55,0.6470588235294118,0.9032258064516129,0.9490384615384615,0.816650984084248,124,20,0.4209503089227984,34,167.4
v4_lininterp,900,0.7894736842105263,0.75,0.7692307692307693,0.9274193548387096,0.925,0.838995457153404,124,20,0.3397583975306442,32,157.4
v4_lininterp,1000,0.8666666666666667,0.65,0.7428571428571429,0.9274193548387096,0.920673076923077,0.7503085273945852,124,20,0.19837374192091725,32,157.5
