variant,seed,precision_injured,recall_injured,f1_injured,accuracy,roc_auc,pr_auc,n_test,n_test_injured,best_valid_loss,epochs,train_time_s
v5_trainstat,100,0.7272727272727273,0.8,0.7619047619047619,0.9193548387096774,0.9735576923076924,0.9092493199072311,124,20,0.23766759734961293,32,157.5
v5_trainstat,200,0.7083333333333334,0.85,0.7727272727272727,0.9193548387096774,0.9129807692307693,0.8730326728116207,124,20,0.15953649688632257,49,241.1
v5_trainstat,300,0.8125,0.65,0.7222222222222222,0.9193548387096774,0.9235576923076924,0.7182276078824827,124,20,0.2575739896105182,34,167.5
v5_trainstat,400,0.6086956521739131,0.7,0.6511627906976745,0.8790322580645161,0.9201923076923078,0.7685553876038409,124,20,0.29965419304226676,33,162.4
v5_trainstat,500,0.7058823529411765,0.6,0.6486486486486487,0.8951612903225806,0.9024038461538462,0.7283805941865154,124,20,0.3566331649499555,32,157.4
v5_trainstat,600,0.8823529411764706,0.75,0.8108108108108109,0.9435483870967742,0.9456730769230769,0.8720078448802391,124,20,0.24853411364939906,32,157.4
v5_trainstat,700,0.7142857142857143,0.5,0.5882352941176471,0.8870967741935484,0.864423076923077,0.6772130818798793,124,20,0.3920181162895695,32,157.4
v5_trainstat,800,0.6842105263157895,0.65,0.6666666666666666,0.8951612903225806,0.9384615384615385,0.782489774327011,124,20,0.35512892565419596,35,172.0
v5_trainstat,900,0.6363636363636364,0.7,0.6666666666666666,0.8870967741935484,0.9235576923076922,0.7925661110474664,124,20,0.34675407278982384,33,162.2
v5_trainstat,1000,0.7368421052631579,0.7,0.717948717948718,0.9112903225806451,0.9125,0.7712000384915627,124,20,0.17426533420239726,33,162.2
