variant,seed,precision_injured,recall_injured,f1_injured,accuracy,roc_auc,pr_auc,n_test,n_test_injured,best_valid_loss,epochs,train_time_s
v6_grouped,100,0.8333333333333334,0.6818181818181818,0.75,0.9206349206349206,0.9493006993006993,0.873425759023585,126,22,0.3276670764132244,32,157.0
v6_grouped,200,0.7647058823529411,0.5652173913043478,0.65,0.8888888888888888,0.9079780498100464,0.7736246213828191,126,23,0.23243570816321452,33,162.1
v6_grouped,300,0.6,0.5,0.5454545454545454,0.8790322580645161,0.8773584905660378,0.6968554176023778,124,18,0.40028609287354255,32,157.4
v6_grouped,400,0.625,0.5,0.5555555555555556,0.8699186991869918,0.8839805825242718,0.6859536818322691,123,20,0.31987972181986984,32,157.8
v6_grouped,500,0.8,0.5333333333333333,0.64,0.926829268292683,0.9098765432098765,0.7274882928905917,123,15,0.37957263383709017,35,173.1
v6_grouped,600,0.5333333333333333,0.8421052631578947,0.6530612244897959,0.8629032258064516,0.9348370927318296,0.7866449468250021,124,19,0.2103616378961071,32,157.3
v6_grouped,700,0.6363636363636364,0.5384615384615384,0.5833333333333334,0.9193548387096774,0.8801108801108801,0.641058641058641,124,13,0.40885599421673136,34,167.6
v6_grouped,800,0.85,0.68,0.7555555555555555,0.912,0.9116,0.8086702758932738,125,25,0.1970951625002109,32,157.2
v6_grouped,900,0.6875,0.6111111111111112,0.6470588235294118,0.9024390243902439,0.9243386243386243,0.7907002054528293,123,18,0.467804063539036,32,158.0
v6_grouped,1000,0.8,0.7619047619047619,0.7804878048780488,0.9285714285714286,0.9337868480725624,0.8575169214212062,126,21,0.2439595956802368,32,156.6
