variant,seed,precision_injured,recall_injured,f1_injured,accuracy,roc_auc,pr_auc,n_test,n_test_injured,best_valid_loss,epochs,train_time_s
v6r_grouped_ours,100,0.5714285714285714,0.42105263157894735,0.48484848484848486,0.8702290076335878,0.8961466165413533,0.6114264457555678,131,19,0.3963230718347363,32,165.4
v6r_grouped_ours,200,0.7916666666666666,0.9047619047619048,0.8444444444444444,0.9465648854961832,0.941125541125541,0.8830207119994089,131,21,0.3696125683031584,32,165.7
v6r_grouped_ours,300,0.6666666666666666,0.782608695652174,0.72,0.8939393939393939,0.908256880733945,0.7433255663792897,132,23,0.36041450318489365,33,170.8
v6r_grouped_ours,400,0.5384615384615384,0.7,0.6086956521739131,0.8646616541353384,0.9212389380530973,0.7726898107341658,133,20,0.24761406219366824,37,191.1
v6r_grouped_ours,500,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9083969465648855,0.8943833943833944,0.6424003875197812,131,14,0.32786352588580203,34,176.7
v6r_grouped_ours,600,0.8823529411764706,0.625,0.7317073170731707,0.9172932330827067,0.9625382262996942,0.8673733082300856,133,24,0.5770857792634231,32,165.7
v6r_grouped_ours,700,0.7,0.7,0.7,0.9090909090909091,0.925,0.8223691194071631,132,20,0.3746051196833603,32,165.8
v6r_grouped_ours,800,0.5714285714285714,0.5,0.5333333333333333,0.8923076923076924,0.8640350877192982,0.5188010246833776,130,16,0.30353516251293583,32,166.0
v6r_grouped_ours,900,0.7692307692307693,0.7407407407407407,0.7547169811320755,0.9015151515151515,0.8712522045855379,0.8123334429098283,132,27,0.29716310246300154,33,170.9
v6r_grouped_ours,1000,0.8636363636363636,0.6551724137931034,0.7450980392156863,0.9015151515151515,0.9273518580515567,0.8316126715499467,132,29,0.2003677010536194,34,176.3
