variant,seed,precision_injured,recall_injured,f1_injured,accuracy,roc_auc,pr_auc,n_test,n_test_injured,best_valid_loss,epochs,train_time_s
v7_temporal,100,0.8181818181818182,0.627906976744186,0.7105263157894737,0.8777777777777778,0.9134272619249704,0.8119567316906802,180,43,0.3460191249847412,32,139.3
v7_temporal,200,0.85,0.3953488372093023,0.5396825396825397,0.8388888888888889,0.8796469190290274,0.7511378327895613,180,43,0.20480470792813735,32,139.3
v7_temporal,300,0.84,0.4883720930232558,0.6176470588235294,0.8555555555555555,0.9113902563232049,0.7912833274628849,180,43,0.2934801077300852,32,139.1
v7_temporal,400,0.875,0.4883720930232558,0.6268656716417911,0.8611111111111112,0.9086742488541844,0.7987611983449768,180,43,0.27418100292032416,32,139.0
v7_temporal,500,0.6944444444444444,0.5813953488372093,0.6329113924050633,0.8388888888888889,0.8455270751994568,0.7044274663513224,180,43,0.23339586691422895,32,139.0
v7_temporal,600,0.7857142857142857,0.5116279069767442,0.6197183098591549,0.85,0.8989984722457987,0.7825585958867479,180,43,0.28868387646295807,32,139.0
v7_temporal,700,0.7575757575757576,0.5813953488372093,0.6578947368421053,0.8555555555555555,0.9051094890510949,0.802846280058966,180,43,0.47544223882935266,32,139.2
v7_temporal,800,0.78125,0.5813953488372093,0.6666666666666666,0.8611111111111112,0.8645391274826006,0.6485925321883594,180,43,0.2748998316851529,32,139.2
v7_temporal,900,0.8571428571428571,0.5581395348837209,0.676056338028169,0.8722222222222222,0.9225937871329145,0.7965690049044309,180,43,0.16216159490021792,36,156.8
v7_temporal,1000,0.875,0.6511627906976745,0.7466666666666667,0.8944444444444445,0.9159735189271772,0.8017584784543197,180,43,0.3735264245759357,32,139.3
