variant,seed,precision_injured,recall_injured,f1_injured,accuracy,roc_auc,pr_auc,n_test,n_test_injured,best_valid_loss,epochs,train_time_s
v9_window_temporal,100,0.4864864864864865,0.4186046511627907,0.45,0.7555555555555555,0.7832286538787981,0.5298760969860152,180,43,0.2085030122236772,32,139.2
v9_window_temporal,200,0.5423728813559322,0.7441860465116279,0.6274509803921569,0.7888888888888889,0.8553726022746563,0.6400636577150487,180,43,0.35562274022535845,32,139.2
v9_window_temporal,300,0.6206896551724138,0.4186046511627907,0.5,0.8,0.7502970633169241,0.5312413094941861,180,43,0.3143406131050803,32,139.2
v9_window_temporal,400,0.5365853658536586,0.5116279069767442,0.5238095238095238,0.7777777777777778,0.824987268714989,0.5467494703042746,180,43,0.5658643229441209,32,139.2
v9_window_temporal,500,0.6,0.3488372093023256,0.4411764705882353,0.7888888888888889,0.8237990154472925,0.6139825466795212,180,43,0.5125428741628474,34,147.8
v9_window_temporal,600,0.6764705882352942,0.5348837209302325,0.5974025974025974,0.8277777777777777,0.8071634696995417,0.6124638736780103,180,43,0.4042683940042149,32,139.0
v9_window_temporal,700,0.6470588235294118,0.5116279069767442,0.5714285714285714,0.8166666666666667,0.7971481921575284,0.6448282474025069,180,43,0.4446151625026356,35,152.2
v9_window_temporal,800,0.6875,0.5116279069767442,0.5866666666666667,0.8277777777777777,0.829740281785775,0.624237584131623,180,43,0.41682694391770797,32,139.1
v9_window_temporal,900,0.5686274509803921,0.6744186046511628,0.6170212765957447,0.8,0.8438295705313189,0.671406724312365,180,43,0.3877791166305542,32,139.1
v9_window_temporal,1000,0.7,0.4883720930232558,0.5753424657534246,0.8277777777777777,0.8407740621286708,0.6685109979853017,180,43,0.5410225358876315,33,143.5
