variant,seed,precision_injured,recall_injured,f1_injured,accuracy,roc_auc,pr_auc,n_test,n_test_injured,best_valid_loss,epochs,train_time_s
v9o_live,100,0.4166666666666667,0.16393442622950818,0.23529411764705882,0.6649484536082474,0.608529520522618,0.3923724369953489,194,61,0.6329545601554539,32,143.6
v9o_live,200,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.6907216494845361,0.6423024775052385,0.4414974781822728,194,61,0.428989317106164,32,143.4
v9o_live,300,0.45454545454545453,0.2459016393442623,0.3191489361702128,0.6701030927835051,0.5867126833477135,0.388848507903495,194,61,0.620926452719647,32,143.4
v9o_live,400,0.46,0.3770491803278688,0.4144144144144144,0.6649484536082474,0.6047084925428325,0.4199276253889571,194,61,0.6015203807664954,32,143.4
v9o_live,500,0.46153846153846156,0.19672131147540983,0.27586206896551724,0.6752577319587629,0.602613090102305,0.3891899454940614,194,61,0.556330738896909,32,143.4
v9o_live,600,0.38461538461538464,0.16393442622950818,0.22988505747126436,0.654639175257732,0.5841242450388265,0.374641479705377,194,61,0.6984926824984343,33,148.0
v9o_live,700,0.37037037037037035,0.16393442622950818,0.22727272727272727,0.6494845360824743,0.560705041291754,0.3528240843943292,194,61,0.4314658683279286,32,143.9
v9o_live,800,0.48717948717948717,0.3114754098360656,0.38,0.6804123711340206,0.59829902625416,0.4167036691313119,194,61,0.5481051937393521,34,153.0
v9o_live,900,0.4473684210526316,0.2786885245901639,0.3434343434343434,0.6649484536082474,0.6192530506594355,0.4393990180485009,194,61,0.4267197857732358,33,148.3
v9o_live,1000,0.4230769230769231,0.18032786885245902,0.25287356321839083,0.6649484536082474,0.6063108591150007,0.43371478508864364,194,61,0.7189985254536504,33,148.5
