section,H,B,model,featset,n_test_windows,n_test_pos,base_rate,pr_auc,pr_lo,pr_hi,roc_auc,roc_lo,roc_hi,prec_at_10,prec_at_20,prec_at_50,evrec_total,evrec_10,evrec_20,evrec_50,cal_slope,cal_intercept,dpr_point,dpr_lo,dpr_hi,droc_point,droc_lo,droc_hi,nboot
main,90.0,0.0,M0,workload8,8011.0,118.0,0.0147297465984271,0.0234207365140126,0.0161875893657096,0.0336901736991013,0.6396909297446568,0.5848096791514434,0.6929269826310024,0.025,0.0166666666666666,0.0283333333333333,52.0,3.0,4.0,15.0,1.4025393724587176,-4.255690440785642,,,,,,,1000.0
main,90.0,0.0,M0prime,curated5,8011.0,118.0,0.0147297465984271,0.0226995682444663,0.0156622332524475,0.0329725499561192,0.6155566936590458,0.5537659375635444,0.6759504114781921,0.0416666666666666,0.0416666666666666,0.0366666666666666,52.0,5.0,10.0,20.0,1.6011512035132691,-4.251669626995814,,,,,,,1000.0
paired_delta,90.0,0.0,M0prime_minus_M0,,8011.0,118.0,0.0147297465984271,,,,,,,,,,,,,,,,-0.0007211682695462,-0.003755883587875,0.002113723220946,-0.024134236085611,-0.0609460437617808,0.0140747982484631,1000.0
main,150.0,0.0,M0,workload8,8011.0,162.0,0.0202221944825864,0.0324002999609946,0.0231796552274422,0.0445267392270601,0.6341933941415829,0.5733653278686313,0.6931926659973664,0.0083333333333333,0.0125,0.0333333333333333,56.0,1.0,3.0,14.0,1.1853890559020446,-3.919160954259628,,,,,,,1000.0
main,150.0,0.0,M0prime,curated5,8011.0,162.0,0.0202221944825864,0.0302032929550297,0.021993527642078,0.0412005025486838,0.6191305332597217,0.5622371592691275,0.6744645626287723,0.0166666666666666,0.0125,0.0283333333333333,56.0,2.0,3.0,13.0,1.1779201130896342,-3.9190594362136246,,,,,,,1000.0
paired_delta,150.0,0.0,M0prime_minus_M0,,8011.0,162.0,0.0202221944825864,,,,,,,,,,,,,,,,-0.0021970070059649,-0.0059878744173086,0.001110766250481,-0.0150628608818612,-0.0396617318814163,0.0151628501529449,1000.0
vif_m0prime,,,pc_30,curated5,,,,4.345948873905307,,,,,,,,,,,,,,,,,,,,,
vif_m0prime,,,pc_90,curated5,,,,4.468272528913077,,,,,,,,,,,,,,,,,,,,,
vif_m0prime,,,days_since_last,curated5,,,,1.6374884533394212,,,,,,,,,,,,,,,,,,,,,
vif_m0prime,,,vel_trend,curated5,,,,1.0301517335393466,,,,,,,,,,,,,,,,,,,,,
vif_m0prime,,,month,curated5,,,,1.2512689776545172,,,,,,,,,,,,,,,,,,,,,
blackout_m0prime,150.0,0.0,M0prime,curated5,8011.0,162.0,0.0202221944825864,0.0302032929550297,0.021993527642078,0.0412005025486838,0.6191305332597217,0.5622371592691275,0.6744645626287723,,,,,,,,,,,,,,,,1000.0
blackout_m0prime,150.0,30.0,M0prime,curated5,8011.0,119.0,0.0148545749594307,0.0225598727469941,0.0158524260834029,0.0315872685554916,0.6214361314723558,0.5578111329563562,0.6841973058338676,,,,,,,,,,,,,,,,1000.0
blackout_m0prime,150.0,60.0,M0prime,curated5,8011.0,78.0,0.0097366121582823,0.0151079615463686,0.0101619159832842,0.0225293030417135,0.6341410595791032,0.5586401448907842,0.7086718439719423,,,,,,,,,,,,,,,,1000.0
blackout_m0prime,150.0,90.0,M0prime,curated5,8011.0,44.0,0.0054924478841592,0.0086540490691175,0.0053753682439628,0.0142288595368125,0.6400963634081496,0.5392658375197943,0.7337245081696426,,,,,,,,,,,,,,,,1000.0
m0doubleprime,90.0,0.0,M0dprime,curated_orth5,8011.0,118.0,0.014729746598427162,0.022711717638728597,0.015674260855097766,0.03298709160094519,0.6156866092461246,0.5539641790712565,0.676033701415216,0.041666666666666664,0.04166666666666668,0.03500000000000001,52.0,5.0,10.0,19.0,1.601990237218532,-4.251668427723106,,,,,,,1000.0
m0doubleprime_paired_delta,90.0,0.0,M0dprime_minus_M0prime,vs_curated5,8011.0,118.0,0.014729746598427162,,,,,,,,,,,,,,,,1.2149394262216118e-05,2.9115292178679386e-06,2.5375033929434742e-05,0.00012991558707886597,3.194126048189361e-05,0.00023083901199238144,1000.0
m0doubleprime_paired_delta,90.0,0.0,M0dprime_minus_M0,vs_workload8,8011.0,118.0,0.014729746598427162,,,,,,,,,,,,,,,,-0.0007090188752840662,-0.0037412665924108097,0.0021309412842589856,-0.024004320498532183,-0.0607367430535208,0.014120704919312192,1000.0
m0doubleprime,150.0,0.0,M0dprime,curated_orth5,8011.0,162.0,0.020222194482586442,0.030076371478343782,0.021895654116911252,0.040939335219583387,0.6189166190864921,0.5621794990862152,0.6745972011044429,0.016666666666666666,0.012500000000000002,0.028333333333333335,56.0,2.0,3.0,13.0,1.1783064766925055,-3.9188893506508364,,,,,,,1000.0
m0doubleprime_paired_delta,150.0,0.0,M0dprime_minus_M0prime,vs_curated5,8011.0,162.0,0.020222194482586442,,,,,,,,,,,,,,,,-0.00012692147668593237,-0.0004103281806720535,2.4124048739366382e-05,-0.00021391417322957906,-0.0006499741900852174,0.00012068308664217592,1000.0
m0doubleprime_paired_delta,150.0,0.0,M0dprime_minus_M0,vs_workload8,8011.0,162.0,0.020222194482586442,,,,,,,,,,,,,,,,-0.0023239284826509117,-0.006041972044915938,0.0009155847121561381,-0.015276775055090841,-0.03976028702402751,0.014813179590469041,1000.0
m0doubleprime_vif,,,pc_chronic,curated_orth5,,,,1.620335605961969,,,,,,,,,,,,,,,,,,,,,
m0doubleprime_vif,,,pc_acute_dev,curated_orth5,,,,1.1510661448894057,,,,,,,,,,,,,,,,,,,,,
m0doubleprime_vif,,,days_since_last,curated_orth5,,,,1.6374884533394212,,,,,,,,,,,,,,,,,,,,,
m0doubleprime_vif,,,vel_trend,curated_orth5,,,,1.0301517335393466,,,,,,,,,,,,,,,,,,,,,
m0doubleprime_vif,,,month,curated_orth5,,,,1.2512689776545172,,,,,,,,,,,,,,,,,,,,,
m0doubleprime_vif,,,cond_number,curated_orth5,,,,2.176115858214433,,,,,,,,,,,,,,,,,,,,,
m0doubleprime_pearson,,,pc_chronic__x__pc_acute_dev,curated_orth5,,,,0.06581553721687033,,,,,,,,,,,,,,,,,,,,,
