section,H,B,model,featset,n_test_windows,n_test_pos,base_rate,pr_auc,pr_lo,pr_hi,roc_auc,roc_lo,roc_hi,evrec_total,evrec_10,evrec_20,evrec_50,dpr_point,dpr_lo,dpr_hi,dpr_excl0,droc_point,droc_lo,droc_hi,droc_excl0,nboot
main,90,0,M0dp,curated_orth5,8011.0,118.0,0.014729746598427162,0.022711717638728597,0.015674260855097766,0.03298709160094519,0.6156866092461246,0.5539641790712565,0.676033701415216,52.0,5.0,10.0,19.0,,,,,,,,,1000.0
main,90,0,M2_role_add,m0dp+start_share,8011.0,118.0,0.014729746598427162,0.03597296828376807,0.019888856766793785,0.07079936816554463,0.6436801972140086,0.5764337656249107,0.7093346903780468,52.0,6.0,7.0,13.0,0.013261250645039475,0.0002017636438679927,0.042555027338016985,True,0.02799358796788398,-0.027020212238739873,0.08522375310546647,False,1000.0
main,90,0,M3_role_inter,"m0dp+ss+ss*z(chr,acu,dsl)",8011.0,118.0,0.014729746598427162,0.032679728286331686,0.018818891724857068,0.06071020792867808,0.642909293151838,0.5750927249743204,0.7066144440846093,52.0,4.0,8.0,15.0,0.009968010647603089,-0.00012424361922665558,0.03349737772226288,False,0.027222683905713363,-0.03363568574876841,0.08970972268510703,False,1000.0
main,90,0,M4_within_role,"wz(chr,acu,dsl)+ss+vel+month",8011.0,118.0,0.014729746598427162,0.03194124025949947,0.01871299525430572,0.05932953202594878,0.6480092852065873,0.582994294605445,0.7061741507200643,52.0,3.0,10.0,16.0,0.009229522620770876,-3.928710196207953e-05,0.03199057714101503,False,0.03232267596046268,-0.025861786489584003,0.08861869441522766,False,1000.0
m2_coef,90,0,pc_chronic,m0dp+start_share,,,,-0.3822791305508067,,,,,,,,,,,,,,,,,,
m2_coef,90,0,pc_acute_dev,m0dp+start_share,,,,-0.20324494864829906,,,,,,,,,,,,,,,,,,
m2_coef,90,0,days_since_last,m0dp+start_share,,,,-0.3065679353828446,,,,,,,,,,,,,,,,,,
m2_coef,90,0,vel_trend,m0dp+start_share,,,,-0.023289859568451716,,,,,,,,,,,,,,,,,,
m2_coef,90,0,month,m0dp+start_share,,,,-0.10250019665367543,,,,,,,,,,,,,,,,,,
m2_coef,90,0,start_share,m0dp+start_share,,,,0.2863748218292513,,,,,,,,,,,,,,,,,,
main,150,0,M0dp,curated_orth5,8011.0,162.0,0.020222194482586442,0.030076371478343782,0.021895654116911252,0.040939335219583387,0.6189166190864921,0.5621794990862152,0.6745972011044429,56.0,2.0,3.0,13.0,,,,,,,,,1000.0
main,150,0,M2_role_add,m0dp+start_share,8011.0,162.0,0.020222194482586442,0.046995064052432395,0.02959571636848224,0.07862233087078688,0.643774704334436,0.578591051231549,0.7072186574081669,56.0,8.0,11.0,15.0,0.016918692574088613,0.0022857813391953556,0.04265085820302461,True,0.024858085247943862,-0.017782355328306777,0.0707008231753365,False,1000.0
main,150,0,M3_role_inter,"m0dp+ss+ss*z(chr,acu,dsl)",8011.0,162.0,0.020222194482586442,0.05332715636595091,0.03136481806518532,0.09090633422676171,0.6454742209827783,0.5747025401333026,0.7130771246354827,56.0,9.0,11.0,16.0,0.023250784887607127,0.003981394139130994,0.05615524176318496,True,0.026557601896286198,-0.02528974041065857,0.07938071997560853,False,1000.0
main,150,0,M4_within_role,"wz(chr,acu,dsl)+ss+vel+month",8011.0,162.0,0.020222194482586442,0.05021665834187279,0.029766511106698937,0.08402964646079362,0.646926006143741,0.5803223495326233,0.7117835979071829,56.0,8.0,11.0,16.0,0.02014028686352901,0.0028109225429650666,0.04862752292459894,True,0.02800938705724887,-0.022735384733780215,0.079407379406612,False,1000.0
m2_coef,150,0,pc_chronic,m0dp+start_share,,,,-0.3521709251303581,,,,,,,,,,,,,,,,,,
m2_coef,150,0,pc_acute_dev,m0dp+start_share,,,,-0.11837746403459354,,,,,,,,,,,,,,,,,,
m2_coef,150,0,days_since_last,m0dp+start_share,,,,-0.24879393318059786,,,,,,,,,,,,,,,,,,
m2_coef,150,0,vel_trend,m0dp+start_share,,,,0.00028219013329317737,,,,,,,,,,,,,,,,,,
m2_coef,150,0,month,m0dp+start_share,,,,-0.28038747744850906,,,,,,,,,,,,,,,,,,
m2_coef,150,0,start_share,m0dp+start_share,,,,0.2763315609793371,,,,,,,,,,,,,,,,,,
