foldset,H,B,F,end,embargo,fold,n_windows,n_pos,n_distinct_surg,base_rate
main,90,0,30,cons_2023-12-31,none,train,7408,70,40,0.009449244060475162
main,90,0,30,cons_2023-12-31,none,valid,2180,23,13,0.01055045871559633
main,90,0,30,cons_2023-12-31,none,test,4540,65,39,0.014317180616740088
main,90,0,30,cons_2023-12-31,strict,train,7408,70,40,0.009449244060475162
main,90,0,30,cons_2023-12-31,strict,valid,2180,23,13,0.01055045871559633
main,90,0,30,cons_2023-12-31,strict,test,4540,65,39,0.014317180616740088
main,90,0,30,e0a_2024-12-31,none,train,7408,70,40,0.009449244060475162
main,90,0,30,e0a_2024-12-31,none,valid,2180,23,13,0.01055045871559633
main,90,0,30,e0a_2024-12-31,none,test,4540,65,39,0.014317180616740088
main,90,0,30,e0a_2024-12-31,strict,train,7408,70,40,0.009449244060475162
main,90,0,30,e0a_2024-12-31,strict,valid,2180,23,13,0.01055045871559633
main,90,0,30,e0a_2024-12-31,strict,test,4540,65,39,0.014317180616740088
main,90,0,365,cons_2023-12-31,none,train,13289,138,60,0.010384528557453533
main,90,0,365,cons_2023-12-31,none,valid,3660,35,17,0.009562841530054645
main,90,0,365,cons_2023-12-31,none,test,8011,118,52,0.014729746598427162
main,90,0,365,cons_2023-12-31,strict,train,13289,138,60,0.010384528557453533
main,90,0,365,cons_2023-12-31,strict,valid,3660,35,17,0.009562841530054645
main,90,0,365,cons_2023-12-31,strict,test,8011,118,52,0.014729746598427162
main,90,0,365,e0a_2024-12-31,none,train,13289,138,60,0.010384528557453533
main,90,0,365,e0a_2024-12-31,none,valid,3660,35,17,0.009562841530054645
main,90,0,365,e0a_2024-12-31,none,test,8011,118,52,0.014729746598427162
main,90,0,365,e0a_2024-12-31,strict,train,13289,138,60,0.010384528557453533
main,90,0,365,e0a_2024-12-31,strict,valid,3660,35,17,0.009562841530054645
main,90,0,365,e0a_2024-12-31,strict,test,8011,118,52,0.014729746598427162
