boundary,H,variant,prev,mean_pred,citl,slope,brier,roc
mature_20241231,90,raw,0.013984,0.00977,-0.004214,1.859794,0.013744,0.700858
mature_20241231,90,recal_grouped,0.013984,0.010021,-0.003963,1.91734,0.013743,0.700858
mature_20241231,90,recal_temporal,0.013984,0.010688,-0.003297,1.938789,0.013735,0.700858
mature_20241231,150,raw,0.019746,0.014598,-0.005147,1.898253,0.019253,0.695802
mature_20241231,150,recal_grouped,0.019746,0.01502,-0.004725,1.959271,0.01925,0.695802
mature_20241231,150,recal_temporal,0.019746,0.016034,-0.003712,1.979595,0.019236,0.695802
mature_20241231,0,viol_joint,,,,,,0.0
mature_20241231,0,viol_platt,,,,,,0.0
safety_20240630,90,raw,0.015335,0.010143,-0.005192,1.450311,0.015072,0.659466
safety_20240630,90,recal_grouped,0.015335,0.010388,-0.004947,1.495454,0.01507,0.659466
safety_20240630,90,recal_temporal,0.015335,0.011074,-0.004261,1.509921,0.015062,0.659466
safety_20240630,150,raw,0.020222,0.014245,-0.005977,1.63098,0.019741,0.665193
safety_20240630,150,recal_grouped,0.020222,0.014669,-0.005553,1.679091,0.019737,0.665193
safety_20240630,150,recal_temporal,0.020222,0.015663,-0.004559,1.696124,0.019722,0.665193
safety_20240630,0,viol_joint,,,,,,0.0
safety_20240630,0,viol_platt,,,,,,0.0
