scope,prediction_level,record_type,H,bin,fold_count,n_pitchers,monotonicity_violations,n,positive_windows,prevalence,mean_pred,mean_error,cal_intercept_fixed_slope1,cal_intercept_joint,cal_slope_joint,brier,roc
fit_2017_2021_pitcher_grouped_oof,final_window_P(H),summary,90,,5,1029.0,0.0,16949,173,0.010207091863826774,0.010037532319182854,-0.00016955954464391992,0.01695564047116877,-3.3384799750776724,0.2657558734484211,0.010116189654638794,0.5338334284320293
fit_2017_2021_pitcher_grouped_oof,final_window_P(H),reliability_bin,90,0.0,5,,,1695,10,0.0058997050147492625,0.005034427203762222,,,,,,
fit_2017_2021_pitcher_grouped_oof,final_window_P(H),reliability_bin,90,1.0,5,,,1695,17,0.010029498525073746,0.0062369537119766685,,,,,,
fit_2017_2021_pitcher_grouped_oof,final_window_P(H),reliability_bin,90,2.0,5,,,1695,13,0.007669616519174041,0.007033311759300915,,,,,,
fit_2017_2021_pitcher_grouped_oof,final_window_P(H),reliability_bin,90,3.0,5,,,1695,20,0.011799410029498525,0.007765110332607434,,,,,,
fit_2017_2021_pitcher_grouped_oof,final_window_P(H),reliability_bin,90,4.0,5,,,1695,16,0.00943952802359882,0.008564813764446923,,,,,,
fit_2017_2021_pitcher_grouped_oof,final_window_P(H),reliability_bin,90,5.0,5,,,1694,19,0.011216056670602124,0.009448608487117493,,,,,,
fit_2017_2021_pitcher_grouped_oof,final_window_P(H),reliability_bin,90,6.0,5,,,1695,25,0.014749262536873156,0.010499917102828445,,,,,,
fit_2017_2021_pitcher_grouped_oof,final_window_P(H),reliability_bin,90,7.0,5,,,1695,16,0.00943952802359882,0.0118809524764661,,,,,,
fit_2017_2021_pitcher_grouped_oof,final_window_P(H),reliability_bin,90,8.0,5,,,1695,19,0.011209439528023599,0.013989763740712749,,,,,,
fit_2017_2021_pitcher_grouped_oof,final_window_P(H),reliability_bin,90,9.0,5,,,1695,18,0.010619469026548672,0.019921117164921065,,,,,,
fit_2017_2021_pitcher_grouped_oof,final_window_P(H),summary,150,,5,1029.0,0.0,16949,252,0.014868133813204319,0.014707478960055196,-0.0001606548531491222,0.011058330395568649,-1.784295867294372,0.5682766806229707,0.014650214881084676,0.5680651690114469
fit_2017_2021_pitcher_grouped_oof,final_window_P(H),reliability_bin,150,0.0,5,,,1695,10,0.0058997050147492625,0.007381440566847194,,,,,,
fit_2017_2021_pitcher_grouped_oof,final_window_P(H),reliability_bin,150,1.0,5,,,1695,21,0.012389380530973451,0.009157100493176853,,,,,,
fit_2017_2021_pitcher_grouped_oof,final_window_P(H),reliability_bin,150,2.0,5,,,1695,19,0.011209439528023599,0.010331682263691947,,,,,,
fit_2017_2021_pitcher_grouped_oof,final_window_P(H),reliability_bin,150,3.0,5,,,1695,25,0.014749262536873156,0.011404065124804248,,,,,,
fit_2017_2021_pitcher_grouped_oof,final_window_P(H),reliability_bin,150,4.0,5,,,1695,25,0.014749262536873156,0.012575640191383238,,,,,,
fit_2017_2021_pitcher_grouped_oof,final_window_P(H),reliability_bin,150,5.0,5,,,1694,25,0.01475796930342385,0.013864086106026439,,,,,,
fit_2017_2021_pitcher_grouped_oof,final_window_P(H),reliability_bin,150,6.0,5,,,1695,43,0.02536873156342183,0.015404076370204002,,,,,,
fit_2017_2021_pitcher_grouped_oof,final_window_P(H),reliability_bin,150,7.0,5,,,1695,23,0.013569321533923304,0.01738353657935459,,,,,,
fit_2017_2021_pitcher_grouped_oof,final_window_P(H),reliability_bin,150,8.0,5,,,1695,28,0.016519174041297935,0.020455991563364025,,,,,,
fit_2017_2021_pitcher_grouped_oof,final_window_P(H),reliability_bin,150,9.0,5,,,1695,33,0.019469026548672566,0.02911667276479439,,,,,,
