H,cell,hgb_config,pr_auc,pr_lo,pr_hi,roc_auc,roc_lo,roc_hi,evrec_total,evrec_10,evrec_20,evrec_50
90,F1_public|LR,,0.03597296828376807,0.019888856766793785,0.07079936816554463,0.6436801972140086,0.5764337656249107,0.7093346903780468,52,6,7,13
90,F1_public|HGB,"{'valid_roc': 0.5882, 'max_depth': 2, 'learning_rate': 0.03, 'max_iter': 100}",0.027208742255523728,0.01750025137027389,0.04780950024447056,0.6489031259193406,0.5794052201254186,0.7132270554252215,52,4,5,11
90,F2cal|LR,,0.03162603176300007,0.018148308512950077,0.06210942051771117,0.6504841234563129,0.5811504984859256,0.7164796771800737,52,3,8,12
90,F2cal|HGB,"{'valid_roc': 0.5521, 'max_depth': 2, 'learning_rate': 0.03, 'max_iter': 300}",0.020904792961993192,0.014349559724247687,0.0340614615114854,0.5772235428517438,0.522156378544207,0.628685664237218,52,5,7,9
90,F2g|LR,,0.026697222305597474,0.01719271592466337,0.044391758920282326,0.6419827051216804,0.5723046794121527,0.7085506499335384,52,3,9,11
90,F2g|HGB,"{'valid_roc': 0.5712, 'max_depth': 3, 'learning_rate': 0.03, 'max_iter': 100}",0.03514208822171802,0.016377435457370446,0.08102378798958688,0.57725521648661,0.4994742496882405,0.6514940389148678,52,4,6,12
90,F3g_content|LR,,0.01682074762557731,0.011683138045865044,0.02509682608510079,0.5452965189064758,0.46825117432244034,0.6158408033416547,52,1,3,7
90,F3g_content|HGB,"{'valid_roc': 0.5116, 'max_depth': 2, 'learning_rate': 0.03, 'max_iter': 100}",0.02585001478058718,0.012974933784584895,0.06314719428833206,0.5362711434933765,0.4512850422822287,0.6152185589642137,52,3,5,7
150,F1_public|LR,,0.046995064052432395,0.02959571636848224,0.07862233087078688,0.643774704334436,0.578591051231549,0.7072186574081669,56,8,11,15
150,F1_public|HGB,"{'valid_roc': 0.6739, 'max_depth': 2, 'learning_rate': 0.03, 'max_iter': 100}",0.037698398697634965,0.023876714704982583,0.062328907521046265,0.6431093683397586,0.5799373953861441,0.7045542669198823,56,3,5,11
150,F2cal|LR,,0.04478944121605533,0.02544460472677796,0.07566441961087082,0.6271939965616443,0.5564713962057338,0.691524051000363,56,4,9,11
150,F2cal|HGB,"{'valid_roc': 0.5487, 'max_depth': 2, 'learning_rate': 0.03, 'max_iter': 300}",0.030578023905018483,0.019887272686701905,0.046657742786525694,0.5615015044772551,0.505315807003383,0.6166599736598929,56,3,5,12
150,F2g|LR,,0.03537332245240517,0.02373679670308235,0.05234635517829383,0.6327030729714723,0.5659917295443638,0.7008200102845358,56,2,8,10
150,F2g|HGB,"{'valid_roc': 0.6172, 'max_depth': 2, 'learning_rate': 0.03, 'max_iter': 100}",0.03676571229637072,0.020286281873931045,0.07636547342943577,0.5663200785190848,0.5000218514574165,0.6341947466136485,56,2,4,10
150,F3g_content|LR,,0.02204566499139979,0.01527760123520382,0.03135010764763036,0.5412795370645627,0.47529995317439044,0.6146844046999225,56,1,4,7
150,F3g_content|HGB,"{'valid_roc': 0.4898, 'max_depth': 3, 'learning_rate': 0.03, 'max_iter': 100}",0.020784661431134013,0.014775803295368742,0.032117279878465306,0.48827286325693764,0.42278033363593054,0.5572720018995224,56,4,5,7
