H,cell,featset,model,hgb_config,pr_auc,pr_lo,pr_hi,roc_auc,roc_lo,roc_hi,evrec_total,evrec_10,evrec_20,evrec_50
90,F1_public|LR,F1_public,LR,,0.03597296828376807,0.019888856766793785,0.07079936816554463,0.6436801972140086,0.5764337656249107,0.7093346903780468,52,6,7,13
90,F1_public|HGB,F1_public,HGB,"{'valid_roc': 0.5881852216748769, 'max_depth': 2, 'learning_rate': 0.03, 'max_iter': 100}",0.027208742255523728,0.01750025137027389,0.04780950024447056,0.6489031259193406,0.5794052201254186,0.7132270554252215,52,4,5,11
90,F2_public+T2|LR,F2_public+T2,LR,,0.03162603176300007,0.018148308512950077,0.06210942051771117,0.6504841234563129,0.5811504984859256,0.7164796771800737,52,3,8,12
90,F2_public+T2|HGB,F2_public+T2,HGB,"{'valid_roc': 0.5520748768472906, 'max_depth': 2, 'learning_rate': 0.03, 'max_iter': 300}",0.020904792961993192,0.014349559724247687,0.0340614615114854,0.5772235428517438,0.522156378544207,0.628685664237218,52,5,7,9
90,F3_content|LR,F3_content,LR,,0.018040305029051185,0.011634105185520873,0.03457675236353699,0.5234605002931153,0.4483346682672289,0.5935524264459412,52,2,2,7
90,F3_content|HGB,F3_content,HGB,"{'valid_roc': 0.5746758620689655, 'max_depth': 2, 'learning_rate': 0.03, 'max_iter': 100}",0.015142651052803666,0.010519648300732572,0.023856321320554617,0.49460420840607533,0.43813891703076785,0.5516488561281129,52,1,2,11
150,F1_public|LR,F1_public,LR,,0.046995064052432395,0.02959571636848224,0.07862233087078688,0.643774704334436,0.578591051231549,0.7072186574081669,56,8,11,15
150,F1_public|HGB,F1_public,HGB,"{'valid_roc': 0.673925717415244, 'max_depth': 2, 'learning_rate': 0.03, 'max_iter': 100}",0.037698398697634965,0.023876714704982583,0.062328907521046265,0.6431093683397586,0.5799373953861441,0.7045542669198823,56,3,5,11
150,F2_public+T2|LR,F2_public+T2,LR,,0.04478944121605533,0.02544460472677796,0.07566441961087082,0.6271939965616443,0.5564713962057338,0.691524051000363,56,4,9,11
150,F2_public+T2|HGB,F2_public+T2,HGB,"{'valid_roc': 0.548707092002285, 'max_depth': 2, 'learning_rate': 0.03, 'max_iter': 300}",0.030578023905018483,0.019887272686701905,0.046657742786525694,0.5615015044772551,0.505315807003383,0.6166599736598929,56,3,5,12
150,F3_content|LR,F3_content,LR,,0.024217440704373167,0.01565492970538748,0.04794943551897911,0.523433039358635,0.45433323807732706,0.5901139212269698,56,3,3,9
150,F3_content|HGB,F3_content,HGB,"{'valid_roc': 0.4969819387436621, 'max_depth': 3, 'learning_rate': 0.1, 'max_iter': 300}",0.019119301640206962,0.013912356412981653,0.02506200161449303,0.4921433728288105,0.4379888689149764,0.5459019693518451,56,0,4,6
