pitcher,birthDate
112526,1973-05-24
276351,1976-11-11
276542,1977-07-26
279571,1980-06-06
282332,1980-07-21
285064,1977-07-22
285079,1974-10-29
407793,1978-10-23
407822,1981-04-05
407845,1977-03-18
407908,1976-03-23
408061,1982-01-07
408241,1981-05-31
424144,1981-08-15
425426,1980-03-31
425492,1980-08-28
425657,1977-07-11
425794,1981-08-30
425844,1983-10-21
425856,1983-01-27
429719,1983-09-09
429722,1982-12-12
430589,1978-08-17
430599,1980-12-11
430641,1981-07-11
430661,1982-03-24
430912,1984-10-01
430935,1983-12-27
431148,1984-01-24
432934,1979-05-25
433586,1980-07-25
433587,1986-04-08
433589,1984-11-22
434378,1983-02-20
434442,1983-04-25
434538,1983-10-26
434622,1984-01-22
434628,1982-09-02
434671,1984-02-27
434672,1981-04-09
434718,1983-08-02
435043,1983-04-19
435221,1983-07-07
435400,1982-06-22
444468,1988-02-26
444520,1980-08-08
444857,1983-02-07
445060,1982-12-13
445197,1985-05-23
445213,1984-08-01
445276,1987-09-30
445926,1983-08-21
445968,1983-10-29
446099,1983-04-01
446321,1986-03-06
446372,1986-04-10
446399,1986-07-02
446899,1979-10-10
447714,1985-02-05
448178,1984-07-26
448179,1980-03-11
448281,1986-09-26
448306,1981-12-20
448609,1983-07-12
448614,1982-10-22
448802,1986-07-08
448855,1985-01-16
449097,1980-11-23
449104,1982-10-21
450172,1983-07-03
450203,1983-11-12
450212,1980-09-04
450275,1983-06-07
450306,1983-02-02
450308,1982-10-04
450729,1984-02-04
451584,1985-09-07
451596,1986-02-27
451661,1985-08-19
451775,1984-06-18
452027,1985-10-06
452657,1984-01-07
452666,1983-12-16
453172,1985-07-04
453178,1984-12-19
453192,1985-05-21
453214,1984-08-30
453249,1985-01-16
453265,1985-05-30
453268,1985-06-25
453281,1984-08-07
453284,1985-06-19
453286,1984-07-27
453329,1984-08-14
453343,1985-03-28
453344,1984-07-26
453385,1983-09-12
453562,1986-03-06
453646,1983-11-28
455009,1984-06-16
455119,1986-06-02
455374,1985-09-21
456027,1982-08-08
456034,1985-08-26
456068,1984-05-27
456167,1988-01-28
456379,1986-06-10
456501,1986-02-15
456696,1985-05-13
456701,1986-05-03
456713,1986-02-08
457429,1984-08-13
457732,1984-05-31
457768,1987-03-28
457915,1985-10-31
457918,1982-10-19
458006,1983-01-20
458584,1986-08-26
458676,1987-06-15
458677,1987-08-18
458681,1987-05-12
458690,1986-09-23
458708,1984-10-19
458924,1985-03-20
459429,1986-08-06
460024,1983-09-15
460059,1984-01-14
460283,1983-09-06
461325,1985-02-14
461829,1985-09-19
461833,1986-06-24
461872,1985-09-10
462136,1983-07-05
462382,1983-06-27
462515,1986-07-24
465657,1984-05-18
467008,1985-06-13
467100,1987-01-12
468396,1983-10-05
468504,1988-01-07
471822,1984-02-27
471911,1987-03-21
472551,1985-12-17
472610,1987-01-30
473879,1988-05-07
474029,1987-07-03
474463,1988-02-01
474521,1988-01-19
474699,1987-09-25
475054,1986-10-09
475115,1987-04-22
475243,1987-02-06
475479,1986-10-09
476451,1987-04-08
476454,1988-03-23
476589,1987-08-25
476594,1989-11-21
476595,1987-03-24
477003,1986-10-27
477132,1988-03-19
477569,1985-05-30
487675,1986-09-30
488748,1987-02-13
488768,1986-09-11
488786,1986-04-04
488846,1983-02-22
488984,1986-07-03
489119,1986-11-13
489265,1983-03-04
489334,1984-03-09
489446,1987-03-25
490063,1983-11-26
491624,1985-03-17
491646,1988-02-10
491703,1988-05-02
491708,1987-06-16
493157,1975-04-03
493200,1982-07-15
493247,1978-12-02
493603,1985-11-22
500610,1989-04-17
500724,1988-08-16
500779,1989-01-24
500872,1987-07-10
501381,1989-01-18
501563,1988-04-09
501593,1989-07-19
501625,1989-05-06
501697,1988-08-12
501789,1984-08-28
501817,1983-11-09
501822,1985-01-12
501925,1984-03-22
501955,1985-09-23
501957,1988-04-15
501985,1987-12-26
501992,1987-11-25
502004,1985-06-12
502009,1987-12-09
502026,1987-09-21
502028,1985-08-08
502032,1985-03-02
502042,1988-09-26
502043,1987-10-23
502046,1987-11-20
