section,H,B,model,featset,n_test_windows,n_test_pos,base_rate,pr_auc,pr_lo,pr_hi,roc_auc,roc_lo,roc_hi,evrec_total,evrec_10,evrec_20,evrec_50,dpr_point,dpr_lo,dpr_hi,dpr_excl0,droc_point,droc_lo,droc_hi,droc_excl0,nboot,age_coef,age_decile,decile_age_lo,decile_age_hi,decile_pos_rate,decile_n
main,90,0,M-role,m0dp+start_share,8011.0,118.0,0.014729746598427162,0.03597296828376807,0.019888856766793785,0.07079936816554463,0.6436801972140086,0.5764337656249107,0.7093346903780468,52.0,6.0,7.0,13.0,,,,,,,,,1000.0,,,,,,
main,90,0,M-role+age,m0dp+start_share+age,8011.0,118.0,0.014729746598427162,0.03397052022366352,0.019195008972135896,0.06679219788144618,0.6394434459196843,0.5657731828133904,0.7167050529298533,52.0,4.0,8.0,15.0,-0.0020024480601045502,-0.037011404291271845,0.028641166892916452,False,-0.004236751294324326,-0.06690225782038081,0.059876617852640326,False,1000.0,-0.5053692395294411,,,,,
age_decile,90,0,fit_set,,,,,,,,,,,,,,,,,,,,,,,,,0.0,19.37303216974675,25.607118412046542,0.01652892561983471,1694.0
age_decile,90,0,fit_set,,,,,,,,,,,,,,,,,,,,,,,,,1.0,25.609856262833677,26.72689938398357,0.01478415138971023,1691.0
age_decile,90,0,fit_set,,,,,,,,,,,,,,,,,,,,,,,,,2.0,26.729637234770706,27.60848733744011,0.011771630370806356,1699.0
age_decile,90,0,fit_set,,,,,,,,,,,,,,,,,,,,,,,,,3.0,27.61122518822724,28.410677618069816,0.014749262536873156,1695.0
age_decile,90,0,fit_set,,,,,,,,,,,,,,,,,,,,,,,,,4.0,28.413415468856947,29.295003422313485,0.010625737898465172,1694.0
age_decile,90,0,fit_set,,,,,,,,,,,,,,,,,,,,,,,,,5.0,29.297741273100616,30.258726899383984,0.014150943396226415,1696.0
age_decile,90,0,fit_set,,,,,,,,,,,,,,,,,,,,,,,,,6.0,30.261464750171115,31.353867214236825,0.0029515938606847697,1694.0
age_decile,90,0,fit_set,,,,,,,,,,,,,,,,,,,,,,,,,7.0,31.356605065023956,32.77754962354552,0.007669616519174041,1695.0
age_decile,90,0,fit_set,,,,,,,,,,,,,,,,,,,,,,,,,8.0,32.780287474332646,34.60643394934976,0.006485849056603774,1696.0
age_decile,90,0,fit_set,,,,,,,,,,,,,,,,,,,,,,,,,9.0,34.60917180013689,46.27241615331965,0.002359882005899705,1695.0
age_decile_monotonicity,90,0,spearman_rho,,,,,,,,,,,,,,,,,,,,,,,,-0.9030303030303028,,,,0.0003436121977632824,
mrole_age_coef,90,0,pc_chronic,m0dp+start_share+age,,,,,,,,,,,,,,,,,,,,,,,-0.3890701781374202,,,,,
mrole_age_coef,90,0,pc_acute_dev,m0dp+start_share+age,,,,,,,,,,,,,,,,,,,,,,,-0.23436599331716193,,,,,
mrole_age_coef,90,0,days_since_last,m0dp+start_share+age,,,,,,,,,,,,,,,,,,,,,,,-0.29531599197577474,,,,,
mrole_age_coef,90,0,vel_trend,m0dp+start_share+age,,,,,,,,,,,,,,,,,,,,,,,-0.07462962465272124,,,,,
mrole_age_coef,90,0,month,m0dp+start_share+age,,,,,,,,,,,,,,,,,,,,,,,-0.07265317305980527,,,,,
mrole_age_coef,90,0,start_share,m0dp+start_share+age,,,,,,,,,,,,,,,,,,,,,,,0.27930200979022174,,,,,
mrole_age_coef,90,0,age,m0dp+start_share+age,,,,,,,,,,,,,,,,,,,,,,,-0.5053692395294411,,,,,
main,150,0,M-role,m0dp+start_share,8011.0,162.0,0.020222194482586442,0.046995064052432395,0.02959571636848224,0.07862233087078688,0.643774704334436,0.578591051231549,0.7072186574081669,56.0,8.0,11.0,15.0,,,,,,,,,1000.0,,,,,,
