seed,r2,rmse_0_100,rmse_100_200,rmse_200_300,rmse_300_400,rmse_400_500,n_0_100,n_100_200,n_200_300,n_300_400,n_400_500,epochs,train_time_s
102,0.7806313037872314,93.2413558959961,66.55525207519531,65.06111145019531,71.13725280761719,71.68099975585938,217,89,106,193,169,43,131.6
202,0.7851446866989136,95.11670684814453,58.20793914794922,59.29251480102539,74.64346313476562,71.99356842041016,237,88,100,205,147,35,107.6
302,0.7805145382881165,96.59226989746094,66.29635620117188,62.92814254760742,77.01239776611328,61.36821365356445,243,85,91,213,153,64,195.3
402,0.7433491945266724,99.00895690917969,78.07625579833984,66.21240997314453,71.5840072631836,87.88551330566406,225,90,81,202,180,35,107.7
502,0.8179036378860474,81.40446472167969,75.52782440185547,56.38174057006836,63.920711517333984,60.86989974975586,212,95,99,204,170,43,131.8
602,0.7767739295959473,107.84247589111328,56.328025817871094,60.42538833618164,63.18526077270508,68.01731872558594,209,104,90,196,177,37,57.5
702,0.7812886834144592,87.94441223144531,68.98443603515625,60.08367919921875,77.12193298339844,67.22874450683594,211,98,101,209,161,41,39.9
802,0.773570716381073,95.49444580078125,71.8174057006836,62.33938217163086,75.93707275390625,67.93925476074219,237,97,105,181,157,43,42.7
902,0.7876167297363281,93.32215118408203,60.484317779541016,67.96034240722656,67.72856903076172,72.88797760009766,211,82,103,218,160,69,69.8
1002,0.8018304109573364,95.80404663085938,68.81423950195312,50.49623489379883,70.15807342529297,63.20626449584961,229,90,87,205,164,37,36.6
